URL,Detected,True/False Positive
http://amzn.to/2mR7DJD,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2mvVaic,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2nVr84s,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2mw9UgQ,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2naSOlQ,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://exemoney.club/8543047233025/,{u'Kaspersky': u'phishing site'},True Positive
http://adf.ly/1boPgu,{u'AutoShun': u'malicious site'},False Positive
http://amazon.com/,{u'CLEAN MX': u'phishing site'},False Positive
http://yeheey.biz/,"{u'Quttera': u'malicious site', u'Malwarebytes hpHosts': u'malware site'}",True Positive
http://www.bit.do/earn2017,{u'AutoShun': u'malicious site'},True Positive
http://amzn.to/2FaJNWa,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2oOqJlG,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2oH0tu7,{u'Sucuri SiteCheck': u'malicious site'},False Positive
https://fleex.cc/ref/gua143,{u'Fortinet': u'malware site'},True Positive
http://on.fb.me/1y8M8ax,{u'Sucuri SiteCheck': u'malicious site'},True Positive
https://amzn.to/2GbVnvV,{u'Sucuri SiteCheck': u'malicious site'},False Positive
https://amzn.to/2rEHqC5,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2cuibbO,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2c8MUzf,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2dfcelj,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2m9JRv7,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2mB9F0B,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2lvepnD,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2l8sECp,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2kMo9cE,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2lmBiMY,{u'Sucuri SiteCheck': u'malicious site'},False Positive
https://coinbucks.io/,{u'Forcepoint ThreatSeeker': u'malicious site'},True Positive
https://www.fiverr.com/,{u'CLEAN MX': u'phishing site'},True Positive
http://on.fb.me/1bREArV,{u'Sucuri SiteCheck': u'malicious site'},True Positive
http://amzn.to/2gmicjP,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/1TpZPvO,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/1Twft7Y,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2gmjnjn,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2xBJG2i,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2z42gw0,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/29lUkcs,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/20s1JLH,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://steamcommunity.com/,{u'CLEAN MX': u'phishing site'},True Positive
http://amzn.to/2vNDfVs,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2vIbu24,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2x9iW4s,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2wUXd0P,{u'Sucuri SiteCheck': u'malicious site'},False Positive
https://freebitco.in/?r=2519128,{u'Sucuri SiteCheck': u'malicious site'},True Positive
http://adf.ly/1o3CVb,{u'AutoShun': u'malicious site'},False Positive
http://adf.ly/IYBq7,{u'AutoShun': u'malicious site'},False Positive
http://adf.ly/,{u'AutoShun': u'malicious site'},False Positive
http://amzn.to/2kMEHB6,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://za.gl/,"{u'CyRadar': u'malicious site', u'Avira': u'malware site', u'BitDefender': u'phishing site'}",True Positive
https://za.gl/ref/techrohitinfo,{u'Avira': u'malware site'},True Positive
http://za.gl/wNKiQd,{u'Avira': u'malware site'},True Positive
http://za.gl/,"{u'CyRadar': u'malicious site', u'Avira': u'malware site', u'BitDefender': u'phishing site'}",True Positive
http://adf.ly/8BQ0E,{u'AutoShun': u'malicious site'},False Positive
http://adf.ly/17pmYt,{u'AutoShun': u'malicious site'},False Positive
http://amzn.to/2m4SJ2d,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/1Punfvr,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://www.capchaclub.com/,{u'Fortinet': u'malware site'},True Positive
http://sgseducation.com/,{u'Sophos': u'malicious site'},True Positive
http://amzn.to/2kDRN6Y,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2kwgNwU,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2kyRvOC,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2nVfCpC,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2naNjUj,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2mwgjIX,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2nV1Sv7,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://faucethub.io/r/2178704,{u'DNS8': u'malicious site'},True Positive
http://adf.ly/,{u'AutoShun': u'malicious site'},False Positive
http://www.moneymail.in/,{u'BitDefender': u'phishing site'},True Positive
http://www.paisalive.com/,{u'CLEAN MX': u'phishing site'},True Positive
http://amzn.to/2lSWZSL,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2m9OIfN,{u'Sucuri SiteCheck': u'malicious site'},False Positive
http://amzn.to/2ljO2RV,{u'Sucuri SiteCheck': u'malicious site'},False Positive
