Channels,FraudVideoCount,Videos,TitleFlag,TagFlag,DescriptionFlag
 , ,https://www.youtube.com/watch?v=cTRzjG1Qf1A,{'scam': 2},"{'pay': 3, 'fraud': 1, 'scam': 5}","{'scam': 2, 'click': 2}"
 , ,https://www.youtube.com/watch?v=gynnMxm-bt4,"{'pay': 1, 'scam': 2}","{'pay': 3, 'fraud': 1, 'scam': 5}","{'pay': 1, 'scam': 2, 'click': 2}"
 , ,https://www.youtube.com/watch?v=uRWpUSuty9k,{'scam': 2},"{'pay': 3, 'fraud': 1, 'scam': 5}","{'scam': 2, 'click': 2}"
 , ,https://www.youtube.com/watch?v=yK6zhzL9Cgg,{'scam': 2},"{'pay': 3, 'fraud': 1, 'scam': 5}","{'scam': 2, 'click': 2}"
 , ,https://www.youtube.com/watch?v=bHYwnD2KZIE,{'scam': 2},"{'pay': 3, 'fraud': 1, 'scam': 5}",{'click': 2}
 , ,https://www.youtube.com/watch?v=JcUM6g-Yyds,{'scam': 2},"{'pay': 3, 'fraud': 1, 'scam': 5}","{'scam': 2, 'click': 2}"
 , ,https://www.youtube.com/watch?v=qaha8MroiTM,{'scam': 2},"{'pay': 3, 'fraud': 1, 'scam': 5}","{'scam': 2, 'click': 2}"
 , ,https://www.youtube.com/watch?v=7IICudw1zOE,{'scam': 2},"{'pay': 3, 'fraud': 1, 'scam': 5}","{'scam': 2, 'click': 2}"
 , ,https://www.youtube.com/watch?v=0jCKrsdbTK4,"{'pay': 1, 'scam': 1}","{'pay': 3, 'fraud': 1, 'scam': 5}","{'pay': 1, 'scam': 1, 'click': 2}"
 , ,https://www.youtube.com/watch?v=bN4Z7f8D3xU,{'scam': 2},"{'pay': 3, 'fraud': 1, 'scam': 5}","{'scam': 2, 'click': 2}"
 , ,https://www.youtube.com/watch?v=nM1MZlTmH60,{'scam': 1},"{'pay': 3, 'fraud': 1, 'scam': 5}","{'scam': 1, 'click': 2}"
 , ,https://www.youtube.com/watch?v=0FNn25s8hdE,{'scam': 2},"{'pay': 3, 'fraud': 1, 'scam': 5}","{'scam': 2, 'click': 2}"
 , ,https://www.youtube.com/watch?v=iDF40lsOGXg,{'scam': 2},"{'pay': 3, 'fraud': 1, 'scam': 5}","{'scam': 2, 'click': 2}"
 , ,https://www.youtube.com/watch?v=TtJQcwtiZzg,{'scam': 2},"{'pay': 3, 'fraud': 1, 'scam': 5}","{'scam': 2, 'click': 2}"
https://www.youtube.com/UCLc7azzf33Vi9uKI_j1PFsg,49,https://www.youtube.com/watch?v=57Unb97IlRg,{'pay': 2},{'pay': 7},"{'pay': 1, 'per': 1}"
 , ,https://www.youtube.com/watch?v=BelYc80QdEw,{'pay': 1},"{'pay': 4, 'per': 2}","{'pay': 1, 'per': 4}"
 , ,https://www.youtube.com/watch?v=8sNMToE5kkc,{'per': 1},{'pay': 2},NoFlag
 , ,https://www.youtube.com/watch?v=7IJyCi2d4k8,NoFlag,"{'pay': 1, 'per': 1, 'ad ': 1}",{'per': 2}
 , ,https://www.youtube.com/watch?v=K-8zgXN9nJA,{'pay': 1},{'pay': 3},NoFlag
 , ,https://www.youtube.com/watch?v=YuggJnLQ430,{'per': 1},{'pay': 3},{'pay': 1}
 , ,https://www.youtube.com/watch?v=hnFjjBb-jtA,{'per': 1},"{'pay': 2, 'per': 1}",{'per': 1}
 , ,https://www.youtube.com/watch?v=3b00MVKoRLE,"{'pay': 1, 'per': 1}",{'pay': 4},NoFlag
 , ,https://www.youtube.com/watch?v=OPqEqnci1Gc,NoFlag,{'pay': 3},{'click': 2}
 , ,https://www.youtube.com/watch?v=brjmL-XOSfI,"{'pay': 1, 'per': 1}",{'pay': 1},NoFlag
 , ,https://www.youtube.com/watch?v=a_7ifvgXheU,NoFlag,{'pay': 1},NoFlag
 , ,https://www.youtube.com/watch?v=tD1MH8JLhD8,{'pay': 1},{'pay': 2},{'click': 1}
 , ,https://www.youtube.com/watch?v=XpCKoPkrrbM,NoFlag,{'pay': 1},NoFlag
 , ,https://www.youtube.com/watch?v=RDTs1HZ5QWM,NoFlag,{'pay': 2},"{'pay': 1, 'click': 1, 'per': 4}"
 , ,https://www.youtube.com/watch?v=rLo7BoIYOdw,"{'pay': 1, 'per': 1}",{'pay': 3},"{'pay': 1, 'click': 3, 'per': 2}"
 , ,https://www.youtube.com/watch?v=0hODXntqDb8,NoFlag,{'pay': 3},NoFlag
 , ,https://www.youtube.com/watch?v=WMxj9_9JlqE,"{'pay': 1, 'per': 1}",{'pay': 1},NoFlag
 , ,https://www.youtube.com/watch?v=5fPaQy1NC3M,{'pay': 1},{'pay': 1},"{'pay': 1, 'per': 1}"
 , ,https://www.youtube.com/watch?v=4Ip3vizUKXo,{'per': 1},{'pay': 1},NoFlag
 , ,https://www.youtube.com/watch?v=fNULTRdxepk,NoFlag,{'pay': 3},{'per': 3}
 , ,https://www.youtube.com/watch?v=kCAgA_P90Lc,{'pay': 1},{'pay': 4},NoFlag
 , ,https://www.youtube.com/watch?v=QGWzMN4yYx0,NoFlag,{'pay': 1},{'click': 2}
 , ,https://www.youtube.com/watch?v=xXMSkQHb7VI,"{'pay': 1, 'per': 2}","{'pay': 5, 'click': 1}","{'pay': 2, 'click': 2}"
 , ,https://www.youtube.com/watch?v=tSUbnBxlYhw,"{'pay': 1, 'per': 1}",{'pay': 1},"{'pay': 2, 'per': 2}"
 , ,https://www.youtube.com/watch?v=5mYhsxGGF-U,{'pay': 1},{'pay': 5},NoFlag
 , ,https://www.youtube.com/watch?v=Yn1iW9Vo_Jo,NoFlag,"{'pay': 2, 'scam': 2}","{'pay': 2, 'scam': 2, 'per': 2}"
 , ,https://www.youtube.com/watch?v=2EcBSDcMJz0,NoFlag,"{'pay': 3, 'per': 1}",{'per': 2}
 , ,https://www.youtube.com/watch?v=8IgtWE6xFNM,{'pay': 1},"{'pay': 2, ' ads': 1, 'per': 1}","{'pay': 1, 'click': 1, 'per': 2}"
 , ,https://www.youtube.com/watch?v=IRzogLJtYwk,"{'pay': 1, 'per': 2}","{'pay': 4, 'per': 1}","{'click': 1, 'per': 2}"
 , ,https://www.youtube.com/watch?v=NDDQtcnicoM,{'per': 1},{'pay': 2},"{'pay': 2, 'per': 2}"
 , ,https://www.youtube.com/watch?v=J4J0CQGqx_M,"{'pay': 1, 'per': 1}",{'pay': 1},"{'pay': 1, 'scam': 1, 'per': 1}"
 , ,https://www.youtube.com/watch?v=9m-qG0bU5aI,{'per': 1},{'pay': 1},"{'pay': 4, 'per': 1}"
 , ,https://www.youtube.com/watch?v=8ZOlPeLlb5A,NoFlag,{'pay': 3},"{'click': 2, 'per': 1}"
 , ,https://www.youtube.com/watch?v=cYeLb6CW7Ys,NoFlag,{'pay': 2},NoFlag
 , ,https://www.youtube.com/watch?v=7b07xyz0eHE,NoFlag,{'pay': 1},NoFlag
 , ,https://www.youtube.com/watch?v=S8cYYWYlkHg,NoFlag,"{'pay': 2, 'per': 1}",{'per': 5}
 , ,https://www.youtube.com/watch?v=lwBNoWfbBPU,NoFlag,"{'pay': 5, 'per': 2}",{'per': 3}
 , ,https://www.youtube.com/watch?v=gfMxo4lCDYA,{'per': 1},{'pay': 4},NoFlag
